Rank,Country,Temperature
1, Burkina Faso,28.25
1, Mali,28.25
3, Kiribati,28.2
4, Djibouti,28
4, Tuvalu,28
6, Senegal,27.85
7, Maldives,27.65
7, Mauritania,27.65
9, Palau,27.6
10, Benin,27.55
11, Gambia,27.5
12, Marshall Islands,27.4
13, Ghana,27.2
14, Bahrain,27.15
14, Qatar,27.15
14, Niger,27.15
14, Seychelles,27.15
14, Togo,27.15
19, Somalia,27.05
20, United Arab Emirates,27
21, Sri Lanka,26.95
22, Sudan,26.9
23, Brunei,26.85
24, Cambodia,26.8
24, Nigeria,26.8
24, Saint Vincent and the Grenadines,26.8
27, Guinea-Bissau,26.75
28, Samoa,26.7
29, Grenada,26.65
30, Chad,26.55
31, Singapore,26.45
32, Ivory Coast,26.35
33, Thailand,26.3
34, Sierra Leone,26.05
35, Antigua and Barbuda,26
35, Barbados,26
35, Guyana,26
38, Indonesia,25.85
38, Philippines,25.85
40, Trinidad and Tobago,25.75
41, Guinea,25.7
41, Suriname,25.7
43, Solomon Islands,25.65
44, Oman,25.6
45, Comoros,25.55
46, Eritrea,25.5
46, Saint Lucia,25.5
48, Malaysia,25.4
48, Panama,25.4
50, Kuwait,25.35
50, Venezuela,25.35
52, Belize,25.3
52, Liberia,25.3
54, Timor-Leste,25.25
54, Papua New Guinea,25.25
54, Tonga,25.25
57, Cuba,25.2
58, Gabon,25.05
59, Bangladesh,25
60, Brazil,24.95
60, Jamaica,24.95
62, Haiti,24.9
62, Nicaragua,24.9
62, Central African Republic,24.9
65, Bahamas,24.85
66, Costa Rica,24.8
67, Kenya,24.75
68, Saudi Arabia,24.65
69, Cameroon,24.6
70, Dominican Republic,24.55
70, Republic of the Congo,24.55
70, Equatorial Guinea,24.55
73, Colombia,24.5
73, Saint Kitts and Nevis,24.5
75, El Salvador,24.45
75, Vietnam,24.45
77, Fiji,24.4
78, Democratic Republic of the Congo,24
79, Vanuatu,23.95
80, Yemen,23.85
81, Mozambique,23.8
82,Sao Tome and Principe,23.75
83, India,23.65
84, Paraguay,23.55
85, Honduras,23.5
86, Guatemala,23.45
87, Cape Verde,23.3
88, Laos,22.8
88, Uganda,22.8
90, Madagascar,22.65
91, Algeria,22.5
92, Mauritius,22.4
93, Tanzania,22.35
94, Ethiopia,22.2
95, Egypt,22.1
96, Malawi,21.9
97, Ecuador,21.85
98, Libya,21.8
99, Australia,21.65
100, Angola,21.55
100, Bolivia,21.55
102, Botswana,21.5
103, Iraq,21.4
103, Zambia,21.4
103, Eswatini,21.4
106, Mexico,21
106, Zimbabwe,21
108, Pakistan,20.2
109, Namibia,19.95
110, Burundi,19.8
111, Peru,19.6
112, Israel,19.2
112, Malta,19.2
112, Tunisia,19.2
115, Cyprus,18.45
116, Jordan,18.3
117, Rwanda,17.85
118, Syria,17.75
118, South Africa,17.75
120, Uruguay,17.55
121, Iran,17.25
122, Morocco,17.1
123, Lebanon,16.4
124, Greece,15.4
125, Portugal,15.15
126, Turkmenistan,15.1
127, Argentina,14.8
128, Monaco,13.55
129, Italy,13.45
130, Spain,13.3
131, Myanmar,13.05
132, Afghanistan,12.6
133, Uzbekistan,12.05
134, Azerbaijan,11.95
135, Lesotho,11.85
135, San Marino,11.85
137, South Korea,11.5
138, Albania,11.4
139, Japan,11.15
140, Turkey,11.1
141, Croatia,10.9
142, France,10.7
143, Bulgaria,10.55
143, Montenegro,10.55
143, New Zealand,10.55
143, Serbia,10.55
147, Bosnia and Herzegovina,9.85
148, North Macedonia,9.8
149, Hungary,9.75
150, Belgium,9.55
151, Moldova,9.45
152, Ireland,9.3
153, Netherlands,9.25
154, Slovenia,8.9
155, Romania,8.8
156, Luxembourg,8.65
157, United States,8.55
158, Germany,8.5
159, Chile,8.45
159, United Kingdom,8.45
161, Ukraine,8.3
162, Nepal,8.1
163, Poland,7.85
164, Andorra,7.6
165, Czech Republic,7.55
166, Denmark,7.5
167, Bhutan,7.4
168,Armenia,7.15
169, China,6.95
170, Slovakia,6.8
171, Kazakhstan,6.4
172, Austria,6.35
173, Lithuania,6.2
174, Belarus,6.15
175, Georgia,5.8
176, North Korea,5.7
177, Liechtenstein,5.65
178, Latvia,5.6
179, Switzerland,5.5
180, Estonia,5.1
181, Sweden,2.1
182, Tajikistan,2
183, Iceland,1.75
184, Finland,1.7
185, Kyrgyzstan,1.55
186, Norway,1.5
187, Mongolia,-0.7
188, Russia,-5.1
189, Canada,-5.35
