"Rank","Country","Temperature"
"1"," Burkina Faso","28.25"
"1"," Mali","28.25"
"3"," Kiribati","28.20"
"4"," Djibouti","28.00"
"4"," Tuvalu","28.00"
"6"," Senegal","27.85"
"7"," Maldives","27.65"
"7"," Mauritania","27.65"
"9"," Palau","27.60"
"10"," Benin","27.55"
"11"," Gambia","27.50"
"12"," Marshall Islands","27.40"
"13"," Ghana","27.20"
"14"," Bahrain","27.15"
"14"," Qatar","27.15"
"14"," Niger","27.15"
"14"," Seychelles","27.15"
"14"," Togo","27.15"
"19"," Somalia","27.05"
"20"," United Arab Emirates","27.00"
"21"," Sri Lanka","26.95"
"22"," Sudan","26.90"
"23"," Brunei","26.85"
"24"," Cambodia","26.80"
"24"," Nigeria","26.80"
"24"," Saint Vincent and the Grenadines","26.80"
"27"," Guinea-Bissau","26.75"
"28"," Samoa","26.70"
"29"," Grenada","26.65"
"30"," Chad","26.55"
"31"," Singapore","26.45"
"32"," Ivory Coast","26.35"
"33"," Thailand","26.30"
"34"," Sierra Leone","26.05"
"35"," Antigua and Barbuda","26.00"
"35"," Barbados","26.00"
"35"," Guyana","26.00"
"38"," Indonesia","25.85"
"38"," Philippines","25.85"
"40"," Trinidad and Tobago","25.75"
"41"," Guinea","25.70"
"41"," Suriname","25.70"
"43"," Solomon Islands","25.65"
"44"," Oman","25.60"
"45"," Comoros","25.55"
"46"," Eritrea","25.50"
"46"," Saint Lucia","25.50"
"48"," Malaysia","25.40"
"48"," Panama","25.40"
"50"," Kuwait","25.35"
"50"," Venezuela","25.35"
"52"," Belize","25.30"
"52"," Liberia","25.30"
"54"," Timor-Leste","25.25"
"54"," Papua New Guinea","25.25"
"54"," Tonga","25.25"
"57"," Cuba","25.20"
"58"," Gabon","25.05"
"59"," Bangladesh","25.00"
"60"," Brazil","24.95"
"60"," Jamaica","24.95"
"62"," Haiti","24.90"
"62"," Nicaragua","24.90"
"62"," Central African Republic","24.90"
"65"," Bahamas","24.85"
"66"," Costa Rica","24.80"
"67"," Kenya","24.75"
"68"," Saudi Arabia","24.65"
"69"," Cameroon","24.60"
"70"," Dominican Republic","24.55"
"70"," Republic of the Congo","24.55"
"70"," Equatorial Guinea","24.55"
"73"," Colombia","24.50"
"73"," Saint Kitts and Nevis","24.50"
"75"," El Salvador","24.45"
"75"," Vietnam","24.45"
"77"," Fiji","24.40"
"78"," Democratic Republic of the Congo","24.00"
"79"," Vanuatu","23.95"
"80"," Yemen","23.85"
"81"," Mozambique","23.80"
"82"," São Tomé and Príncipe","23.75"
"83"," India","23.65"
"84"," Paraguay","23.55"
"85"," Honduras","23.50"
"86"," Guatemala","23.45"
"87"," Cape Verde","23.30"
"88"," Laos","22.80"
"88"," Uganda","22.80"
"90"," Madagascar","22.65"
"91"," Algeria","22.50"
"92"," Mauritius","22.40"
"93"," Tanzania","22.35"
"94"," Ethiopia","22.20"
"95"," Egypt","22.10"
"96"," Malawi","21.90"
"97"," Ecuador","21.85"
"98"," Libya","21.80"
"99"," Australia","21.65"
"100"," Angola","21.55"
"100"," Bolivia","21.55"
"102"," Botswana","21.50"
"103"," Iraq","21.40"
"103"," Zambia","21.40"
"103"," Eswatini","21.40"
"106"," Mexico","21.00"
"106"," Zimbabwe","21.00"
"108"," Pakistan","20.20"
"109"," Namibia","19.95"
"110"," Burundi","19.80"
"111"," Peru","19.60"
"112"," Israel","19.20"
"112"," Malta","19.20"
"112"," Tunisia","19.20"
"115"," Cyprus","18.45"
"116"," Jordan","18.30"
"117"," Rwanda","17.85"
"118"," Syria","17.75"
"118"," South Africa","17.75"
"120"," Uruguay","17.55"
"121"," Iran","17.25"
"122"," Morocco","17.10"
"123"," Lebanon","16.40"
"124"," Greece","15.40"
"125"," Portugal","15.15"
"126"," Turkmenistan","15.10"
"127"," Argentina","14.80"
"128"," Monaco","13.55"
"129"," Italy","13.45"
"130"," Spain","13.30"
"131"," Myanmar","13.05"
"132"," Afghanistan","12.60"
"133"," Uzbekistan","12.05"
"134"," Azerbaijan","11.95"
"135"," Lesotho","11.85"
"135"," San Marino","11.85"
"137"," South Korea","11.50"
"138"," Albania","11.40"
"139"," Japan","11.15"
"140"," Turkey","11.10"
"141"," Croatia","10.90"
"142"," France","10.70"
"143"," Bulgaria","10.55"
"143"," Montenegro","10.55"
"143"," New Zealand","10.55"
"143"," Serbia","10.55"
"147"," Bosnia and Herzegovina","9.85"
"148"," North Macedonia","9.80"
"149"," Hungary","9.75"
"150"," Belgium","9.55"
"151"," Moldova","9.45"
"152"," Ireland","9.30"
"153"," Netherlands","9.25"
"154"," Slovenia","8.90"
"155"," Romania","8.80"
"156"," Luxembourg","8.65"
"157"," United States","8.55"
"158"," Germany","8.50"
"159"," Chile","8.45"
"159"," United Kingdom","8.45"
"161"," Ukraine","8.30"
"162"," Nepal","8.10"
"163"," Poland","7.85"
"164"," Andorra","7.60"
"165"," Czech Republic","7.55"
"166"," Denmark","7.50"
"167"," Bhutan","7.40"
"168","Template:Arménie","7.15"
"169"," China","6.95"
"170"," Slovakia","6.80"
"171"," Kazakhstan","6.40"
"172"," Austria","6.35"
"173"," Lithuania","6.20"
"174"," Belarus","6.15"
"175"," Georgia","5.80"
"176"," North Korea","5.70"
"177"," Liechtenstein","5.65"
"178"," Latvia","5.60"
"179"," Switzerland","5.50"
"180"," Estonia","5.10"
"181"," Sweden","2.10"
"182"," Tajikistan","2.00"
"183"," Iceland","1.75"
"184"," Finland","1.70"
"185"," Kyrgyzstan","1.55"
"186"," Norway","1.50"
"187"," Mongolia","−0.70"
"188"," Russia","−5.10"
"189"," Canada","−5.35"
